path,class,status,exclusion_reasons,md5,min_dim
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/1.jpg,Non_Conjunctivitis,RETAINED,None,eeb055ec537353933721121c05583411,183
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/10.jpg,Non_Conjunctivitis,RETAINED,None,95a0726f687318d0dd38e9d30b65c560,480
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/100.jpg,Non_Conjunctivitis,RETAINED,None,cd352f38fedbaae97e09bce2d093154f,666
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/101.jpg,Non_Conjunctivitis,RETAINED,None,8848e15fd0255bf9713121c37de4339b,1609
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/102.jpg,Non_Conjunctivitis,RETAINED,None,07c720241dd7e6b8c1cb1a5362566981,206
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/103.jpg,Non_Conjunctivitis,RETAINED,None,339db6e8c0fcdac1a63e7cf0973baad1,592
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/104.jpg,Non_Conjunctivitis,RETAINED,None,204e8606dc7f2862bcd06248918f2e5a,194
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/105.jpg,Non_Conjunctivitis,RETAINED,None,e40ce1167643bdd18e184adec53c7be3,480
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/106.jpg,Non_Conjunctivitis,RETAINED,None,4fa8b5a4e1b3941770801136c964063e,394
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/107.jpg,Non_Conjunctivitis,RETAINED,None,fa5c3dff37751de5e6033044bc1eb92c,587
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/108.jpg,Non_Conjunctivitis,RETAINED,None,8aea011024a61fe60cf3070e2c5af81b,279
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/109.jpg,Non_Conjunctivitis,RETAINED,None,6e33e0bff05ea4073d6b5e3b14a9eba8,957
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/11.jpg,Non_Conjunctivitis,RETAINED,None,53a1ee36fab5ddeffa259669c3197892,394
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/110.jpg,Non_Conjunctivitis,RETAINED,None,900dc0dca1bd8d0b0c4b4580aa44eb71,575
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/111.jpg,Non_Conjunctivitis,RETAINED,None,74f182de2a0d5acdd920e5b68312e8c6,1280
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/112.jpg,Non_Conjunctivitis,RETAINED,None,5dc38f51fdaf8ad221de7bcdd674003c,1078
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/113.jpg,Non_Conjunctivitis,RETAINED,None,8d0477b8286c1af00e80be668118625f,400
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/114.jpg,Non_Conjunctivitis,RETAINED,None,273a71b027504005f87ac91392554289,183
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/115.jpg,Non_Conjunctivitis,RETAINED,None,7aaedf575338e743113b0c95cf760b08,2549
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/116.jpg,Non_Conjunctivitis,RETAINED,None,207c2a7926f003bbbce6cf7bde5d267f,1177
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/117.jpg,Non_Conjunctivitis,RETAINED,None,10a4956c44b9ad2d6f6207c13f0b5651,407
/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/healthy_eye/118.jpg,Non_Conjunctivitis,RETAINED,None,9ee5dcbdeb4ade31a6d7204df64a504b,168
