cleaned_path,original_path,source,class,label,md5,min_dim
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_1.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/1.jpg,datasets,Conjunctivitis,1,a387110eee106c4e9effa55222ab678b,800
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_101.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/101.jpg,datasets,Conjunctivitis,1,71ff4fdb152cb44e791965aabbbfbeae,313
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_102.jpg,/kaggle/input/datasets/safone/conjunctivitis-non-conjunctivitis/Conjunctivitis/102.jpg,datasets,Conjunctivitis,1,a192c84ec6cd94b08072c8f324ef120d,238
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_102.png,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/102.png,datasets,Conjunctivitis,1,880c9d483f150e2808d77bcc9be53a3a,207
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_103.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/103.jpg,datasets,Conjunctivitis,1,6f9f47ca610fa05bce79f55a3297899e,218
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_104.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/104.jpg,datasets,Conjunctivitis,1,de8482735c318099e60460bea5ce90e2,407
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_107.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/107.jpg,datasets,Conjunctivitis,1,538977b24cd8d6caa77fbf5589bfd2b2,730
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_108.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/108.jpg,datasets,Conjunctivitis,1,ba0c8f3b30f53f289027c834aed64b56,335
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_109.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/109.jpg,datasets,Conjunctivitis,1,9ea70d873c88393f2af61a25b8f3ecd5,286
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_11.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/11.jpg,datasets,Conjunctivitis,1,34c71c8e5a97920af4450da7cc6767b7,225
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_110.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/110.jpg,datasets,Conjunctivitis,1,e34bf66965fa96fc7b0ec3b059a886df,355
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_111.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/111.jpg,datasets,Conjunctivitis,1,b72f85d452132f4a8224879cefe70873,524
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_113.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/113.jpg,datasets,Conjunctivitis,1,148b2f3714ad4094e7d2aea7c40e865a,350
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_114.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/114.jpg,datasets,Conjunctivitis,1,671188e14d43a91052eddfb1d71ccd49,850
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_115.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/115.jpg,datasets,Conjunctivitis,1,5525ff8afb16594ba7d6c5f32674b614,540
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_116.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/116.jpg,datasets,Conjunctivitis,1,a878e1867e437349c84cc02400621706,368
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_117.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/117.jpg,datasets,Conjunctivitis,1,67694474019744d2f182c09ba6fca594,244
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_118.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/118.jpg,datasets,Conjunctivitis,1,23e04e1627a8e26b81f86071624958c6,420
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_119.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/119.jpg,datasets,Conjunctivitis,1,405f97f1e78a2a63ddd15cfcfeea8ae4,392
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_12.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/12.jpg,datasets,Conjunctivitis,1,ab3a1a2b484ba45dd9e5a96a9d28fab7,360
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_120.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/120.jpg,datasets,Conjunctivitis,1,a254bef1a39f1d5b5bfac55f9a5716b1,282
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_121.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/121.jpg,datasets,Conjunctivitis,1,789fd77871362508b17b59c27b6313d9,453
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_122.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/122.jpg,datasets,Conjunctivitis,1,53b7dbcd17289c7f0ca0f7944203648b,296
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_123.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/123.jpg,datasets,Conjunctivitis,1,b30856c9dcb7b01773347b88d62be2cb,169
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_124.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/124.jpg,datasets,Conjunctivitis,1,18a5c1194e5b95cc690ceb610fb21cbc,539
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_126.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/126.jpg,datasets,Conjunctivitis,1,1edacdf9a274f71a65eb424f59fb7668,655
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_127.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/127.jpg,datasets,Conjunctivitis,1,bbce9a0bb373593d2839dfa2fc1e18bd,1200
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_128.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/128.jpg,datasets,Conjunctivitis,1,c75843b0a5725522872b787cb3830024,900
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_129.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/129.jpg,datasets,Conjunctivitis,1,7e5e6df8323dfd65b2e8a27ba600deab,187
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_13.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/13.jpg,datasets,Conjunctivitis,1,3547b07e9f46129dc660e69414b08803,162
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_130.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/130.jpg,datasets,Conjunctivitis,1,725b44df2f720d21feaee66b4d0b0e62,417
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_131.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/131.jpg,datasets,Conjunctivitis,1,1e3f7ce10365bd9e88342377fd8e132f,269
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_132.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/132.jpg,datasets,Conjunctivitis,1,d55783577b849d52d708afdac151824b,286
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_133.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/133.jpg,datasets,Conjunctivitis,1,6f9196beb3f5ca5dfd1006085aa8eb90,378
/kaggle/working/dataset_cleaned/Conjunctivitis/datase_134.jpg,/kaggle/input/datasets/alisofiya/conjunctivitis/Dataset/infected_eye/134.jpg,datasets,Conjunctivitis,1,83dc3524f48df8991c0db578dd37a0ce,512
