stage,epoch,train_loss,val_loss,val_auc,lr
1,1,0.04298097255982851,0.016271978582848203,0.9983974358974359,0.0009938441702975688
1,2,0.024991226980560704,0.015088835968212647,0.9983974358974359,0.0009755282581475768
1,3,0.020987555051320477,0.01952051699838855,0.9935897435897436,0.0009455032620941839
1,4,0.022642640578315446,0.03618235371329568,0.9855769230769231,0.0009045084971874737
1,5,0.016913610750711277,0.007107811336490241,1.0,0.0008535533905932737
1,6,0.011770912759790295,0.02938410798934373,0.9919871794871795,0.0007938926261462366
1,7,0.014118185051177677,0.015896506370468574,0.9983974358974359,0.0007269952498697733
1,8,0.0046079991483374645,0.0065783096138726585,0.9983974358974359,0.0006545084971874737
1,9,0.010983203743633471,0.017208625173026865,0.9951923076923077,0.0005782172325201155
1,10,0.008894528625042815,0.010615987754003568,0.9983974358974359,0.0005
1,11,0.009327952670374591,0.01580133465203372,0.9983974358974359,0.0004217827674798847
1,12,0.0071591313536229885,0.010035972940650853,1.0,0.00034549150281252633
1,13,0.004579782579094171,0.0071064663034948435,1.0,0.00027300475013022663
1,14,0.005231566040923721,0.009226497635245324,1.0,0.00020610737385376348
1,15,0.0073100699700023,0.010191639783707532,1.0,0.00014644660940672625
1,16,0.0033863241416647247,0.007244222416457805,1.0,9.549150281252631e-05
2,1,0.05284086520734586,0.011585289587012746,0.9967948717948718,9.890738003669029e-06
2,2,0.03538425231450482,0.01254552992441776,1.0,9.567727288213005e-06
2,3,0.03192021972254703,0.0068288831336593084,1.0,9.045084971874738e-06
2,4,0.024343753743328547,0.003779420324347236,1.0,8.345653031794292e-06
2,5,0.02772732774089826,0.0025676912374117157,1.0,7.5e-06
2,6,0.019936498646673403,0.0021494575776159763,1.0,6.545084971874738e-06
2,7,0.01827007181158191,0.0022037378850985655,1.0,5.522642316338269e-06
2,8,0.028971216874197125,0.002524405734782869,1.0,4.477357683661735e-06
2,9,0.019290139756508565,0.0030341103503649883,1.0,3.4549150281252644e-06
2,10,0.035502343938538905,0.0034282963807609947,1.0,2.500000000000002e-06
2,11,0.029748568683862685,0.0036080140874467114,1.0,1.654346968205711e-06
2,12,0.01322805643277733,0.0038509466177360577,1.0,9.549150281252635e-07
2,13,0.030078299382799552,0.003920447970317168,1.0,4.3227271178699523e-07
2,14,0.0216669053231415,0.003994811859659173,1.0,1.092619963309716e-07
